source,event_type,count,first_ms,last_ms
binance,aggTrade,8832899,1776008094346,1777055693925
clob_up,best_bid_ask,4327321,1776008095970,1777055693994
clob_down,best_bid_ask,4325128,1776008095971,1777055693994
binance,depth,3271777,1776008094213,1777055694813
chainlink,chainlink_price,1035298,1776008093542,1777055694188
clob,new_market,80368,1776008282875,1777055671576
clob_down,book,4462,1776008093600,1777055400245
clob_up,book,4461,1776008093600,1777055400245
clob,tick_size_change,796,1776026639354,1777054788641
clob,market_resolved,69,1776751934308,1777055235892
