strategy,reason,total_count,rollup_rows,first_ms,last_ms
spread-capture,legging_risk_too_high,460668604,3105,1776008100421,1777055193839
calm-persistence,calm_window_inactive,458602845,3389,1776008100421,1777055400436
latency-arb,direction_not_selected,389819098,2845,1776008400515,1777055193839
latency-arb,window_too_late,168037600,3335,1776008100421,1777055193839
spread-capture,spread_threshold_not_met,80343327,3061,1776008100421,1777055193839
calm-persistence,distance_below_threshold,67659723,1987,1776008400515,1777054500430
calm-persistence,entry_ask_above_max,41235220,1928,1776008700402,1777055193839
spread-capture,entry_ask_below_min,19050583,2655,1776008100421,1777055193839
latency-arb,cooldown_active,14019112,251,1776033300424,1777047997987
spread-capture,non_positive_quotes,12569798,2181,1776008100421,1777055193839
calm-persistence,non_positive_quotes,6672210,841,1776009900424,1777055193839
spread-capture,features_stale,3394422,3336,1776008400515,1777055400436
latency-arb,features_stale,2924956,2845,1776008400515,1777055400436
latency-arb,non_positive_quotes,1565514,963,1776008400515,1777055193839
calm-persistence,orderflow_not_aligned,1146474,132,1776017100430,1777054500430
calm-persistence,features_stale,434611,348,1776012300417,1777049800828
spread-capture,legs_out_of_sync,322521,3090,1776008100421,1777055193839
calm-persistence,duplicate_open_position,212467,63,1776097500428,1776913200443
spread-capture,book_unavailable,174679,2923,1776008400515,1777055400436
calm-persistence,volatility_too_high,168856,108,1776017400424,1777054500430
latency-arb,book_unavailable,142824,2672,1776008400515,1777055400436
calm-persistence,expected_edge_non_positive,40104,122,1776017100430,1777054500430
calm-persistence,open_crosses_too_high,32272,35,1776112800429,1776968781548
calm-persistence,expected_edge_below_min,27265,121,1776017100430,1777054500430
calm-persistence,duplicate_pending_order,14803,76,1776096600426,1776913200443
latency-arb,entry_ask_below_min,13175,36,1776031800429,1777046193222
calm-persistence,book_unavailable,10401,110,1776255300427,1776860700421
latency-arb,expected_edge_non_positive,1595,28,1776033900427,1777041900427
spread-capture,spread_budget_too_small,202,29,1776021000437,1776791420927
calm-persistence,blocked_by_router,25,4,1776354000424,1776515893813
