strategy,decision_status,rejection_reason,count,avg_quote_age_ms,avg_book_staleness_ms,avg_arrival_delay_ms,avg_expected_edge
calm-persistence,rejected,strategy_sleeve_exhausted,247031,6.883277807238768,6.883277807238768,,0.4239956463533172
calm-persistence,rejected,below_min_bet_on_submit,19684,4.443100995732575,4.443100995732575,,0.12465752867526908
latency-arb,filled,,110,12.99090909090909,12.99090909090909,253.3181818181818,0.1583575313334159
calm-persistence,missed,limit_price_not_crossed_on_arrival,87,9.74712643678161,9.74712643678161,256.57471264367814,0.16162717920209127
latency-arb,missed,limit_price_not_crossed_on_arrival,80,8.2,8.2,254.05,0.14657558133842055
calm-persistence,filled,,67,14.537313432835822,14.537313432835822,254.80597014925374,0.207786297630346
latency-arb,rejected,strategy_sleeve_exhausted,63,7.873015873015873,7.873015873015873,,0.1750079792182961
spread-capture,missed,limit_price_not_crossed_on_arrival,23,0.08695652173913043,0.08695652173913043,252.82608695652175,0.05147515547826087
latency-arb,rejected,duplicate_open_position,19,7.7894736842105265,7.7894736842105265,,0.1685150736235843
spread-capture,rejected,strategy_sleeve_exhausted,18,1.2222222222222223,1.2222222222222223,,0.025713101333333342
calm-persistence,missed,fill_below_min_on_arrival,13,1.9230769230769231,1.9230769230769231,251.3846153846154,0.22504137793609993
latency-arb,missed,fill_below_min_on_arrival,11,26.727272727272727,26.727272727272727,253.8181818181818,0.15796945703047774
spread-capture,filled,,3,0.0,0.0,260.3333333333333,0.06939865066666666
latency-arb,missed,zero_liquidity_on_arrival,1,4.0,4.0,257.0,0.336828
