trade_id,entry_ms,entry_utc,market_id,question,strategy,side,entry_price,size,status,fill_status,execution_fidelity,resolved_ms,resolved_utc,settlement_price,fee_amount,pnl_net
1,1776038239696,2026-04-12 23:57:19 UTC,1952174,"Bitcoin Up or Down - April 12, 7:55PM-8:00PM ET",latency-arb,DOWN,0.46,14.0,closed,filled,raw_event,1776038739114,2026-04-13 00:05:39 UTC,0.0,0.11517811200000001,-6.555178112
2,1776088237330,2026-04-13 13:50:37 UTC,1958564,"Bitcoin Up or Down - April 13, 9:50AM-9:55AM ET",latency-arb,DOWN,0.54,10.0,closed,filled,raw_event,1776088849538,2026-04-13 14:00:49 UTC,1.0,0.09657792,4.50342208
3,1776088894814,2026-04-13 14:01:34 UTC,1958674,"Bitcoin Up or Down - April 13, 10:00AM-10:05AM ET",latency-arb,DOWN,0.55,20.0,closed,filled,raw_event,1776089350543,2026-04-13 14:09:10 UTC,1.0,0.19601999999999997,8.80398
4,1776089158470,2026-04-13 14:05:58 UTC,1958790,"Bitcoin Up or Down - April 13, 10:05AM-10:10AM ET",latency-arb,DOWN,0.6,20.0,closed,filled,raw_event,1776089639595,2026-04-13 14:13:59 UTC,1.0,0.20735999999999996,7.7926400000000005
5,1776089845205,2026-04-13 14:17:25 UTC,1958857,"Bitcoin Up or Down - April 13, 10:15AM-10:20AM ET",latency-arb,DOWN,0.6,23.0,closed,filled,raw_event,1776090249566,2026-04-13 14:24:09 UTC,1.0,0.23846399999999995,8.961536
6,1776096097117,2026-04-13 16:01:37 UTC,1959906,"Bitcoin Up or Down - April 13, 12:00PM-12:05PM ET",latency-arb,DOWN,0.59,20.45,closed,partial,raw_event,1776096539615,2026-04-13 16:08:59 UTC,1.0,0.21014240039999996,8.1743575996
7,1776097241867,2026-04-13 16:20:41 UTC,1960057,"Bitcoin Up or Down - April 13, 12:20PM-12:25PM ET",latency-arb,DOWN,0.53,27.0,closed,filled,raw_event,1776097695553,2026-04-13 16:28:15 UTC,0.0,0.25665271199999995,-14.566652712
8,1776097419062,2026-04-13 16:23:39 UTC,1960057,"Bitcoin Up or Down - April 13, 12:20PM-12:25PM ET",calm-persistence,UP,0.6,10.0,closed,filled,raw_event,1776097695553,2026-04-13 16:28:15 UTC,1.0,0.10367999999999998,3.8963200000000002
9,1776097999067,2026-04-13 16:33:19 UTC,1960116,"Bitcoin Up or Down - April 13, 12:30PM-12:35PM ET",latency-arb,UP,0.33,25.0,closed,filled,raw_event,1776098317521,2026-04-13 16:38:37 UTC,0.0,0.1313334,-8.3813334
10,1776098474810,2026-04-13 16:41:14 UTC,1960159,"Bitcoin Up or Down - April 13, 12:40PM-12:45PM ET",latency-arb,DOWN,0.57,16.0,closed,filled,raw_event,1776098928512,2026-04-13 16:48:48 UTC,0.0,0.16094246399999998,-9.280942463999999
