case	mode	momentum	max_ask	lat_sleeve	spread_threshold	family_frac	global_frac	counts_open	pnl	trades	max_dd_pct	lat_trades	lat_pnl	calm_trades	calm_pnl	spread_trades	spread_pnl	lat_sleeve_exhausted	summary
shortlist_current_conservative	conservative	0.0008	0.65	0.05	0.970	0.0	1.0	0	544.42	169	24.9	119	163.12	48	361.48	2	19.82	0	PnL=$544.42 | WR=68.6% | Trades=169 (116W/53L) | MaxDD=24.9% | Peak=$969.79 | 93.2h replayed in 73.5s
shortlist_current_risky	risky	0.0008	0.65	0.05	0.970	0.0	0.25	0	544.42	169	24.9	119	163.12	48	361.48	2	19.82	0	PnL=$544.42 | WR=68.6% | Trades=169 (116W/53L) | MaxDD=24.9% | Peak=$969.79 | 93.2h replayed in 72.9s
shortlist_ask_neighbor_conservative	conservative	0.0008	0.60	0.05	0.965	0.0	1.0	0	704.47	114	12.9	82	382.34	30	303.84	2	18.29	0	PnL=$704.47 | WR=69.3% | Trades=114 (79W/35L) | MaxDD=12.9% | Peak=$976.95 | 93.2h replayed in 72.4s
shortlist_ask_neighbor_risky	risky	0.0008	0.60	0.05	0.965	0.0	0.25	0	704.47	114	12.9	82	382.34	30	303.84	2	18.29	0	PnL=$704.47 | WR=69.3% | Trades=114 (79W/35L) | MaxDD=12.9% | Peak=$976.95 | 93.2h replayed in 73.7s
shortlist_dd25_conservative	conservative	0.0008	0.60	0.075	0.965	0.0	1.0	0	1058.09	115	19.1	83	660.99	30	365.77	2	31.33	0	PnL=$1058.09 | WR=69.6% | Trades=115 (80W/35L) | MaxDD=19.1% | Peak=$1426.06 | 93.2h replayed in 75.1s
shortlist_dd25_risky	risky	0.0008	0.60	0.075	0.965	0.0	0.25	0	1058.09	115	19.1	83	660.99	30	365.77	2	31.33	0	PnL=$1058.09 | WR=69.6% | Trades=115 (80W/35L) | MaxDD=19.1% | Peak=$1426.06 | 93.2h replayed in 75.3s
shortlist_rawbest_conservative	conservative	0.0008	0.60	0.10	0.965	0.0	1.0	0	1358.40	115	24.9	83	917.33	30	399.00	2	42.07	0	PnL=$1358.40 | WR=69.6% | Trades=115 (80W/35L) | MaxDD=24.9% | Peak=$1855.37 | 93.2h replayed in 75.5s
shortlist_rawbest_risky	risky	0.0008	0.60	0.10	0.965	0.0	0.25	0	1358.40	115	24.9	83	917.33	30	399.00	2	42.07	0	PnL=$1358.40 | WR=69.6% | Trades=115 (80W/35L) | MaxDD=24.9% | Peak=$1855.37 | 93.2h replayed in 71.6s
shortlist_dd20alt_conservative	conservative	0.0012	0.70	0.10	0.965	0.0	1.0	0	695.12	110	18.3	48	396.52	60	279.54	2	19.05	0	PnL=$695.12 | WR=78.2% | Trades=110 (86W/24L) | MaxDD=18.3% | Peak=$1042.52 | 93.2h replayed in 74.7s
shortlist_dd20alt_risky	risky	0.0012	0.70	0.10	0.965	0.0	0.25	0	695.12	110	18.3	48	396.52	60	279.54	2	19.05	0	PnL=$695.12 | WR=78.2% | Trades=110 (86W/24L) | MaxDD=18.3% | Peak=$1042.52 | 93.2h replayed in 74.3s
