CALM_PERSISTENCE_MAX_ASK,CALM_PERSISTENCE_MIN_ABS_DISTANCE_BPS,CALM_PERSISTENCE_DISTANCE_VOL_RATIO_THRESHOLD,CALM_PERSISTENCE_MIN_ALIGNMENT_FRACTION,CALM_PERSISTENCE_MAX_FAIR_BIAS,pnl,win_rate,trades,wins,losses,max_dd,hwm,final_balance,signals,fill_rate,partial_fill_rate,no_fill_count,spread_legging_count,residual_position_count,avg_fill_latency_ms,avg_slippage,raw_event_batches,legacy_snapshot_batches,dislocation_regime_count,structural_pair_regime_count,calm_regime_count,dislocation_queued,structural_pair_queued,calm_queued,dislocation_filled,structural_pair_filled,calm_filled,dislocation_missed,structural_pair_missed,calm_missed,latency_arb_candidates,spread_capture_candidates,calm_persistence_candidates,router_blocked_count,capital_blocked_count,latency_spread_overlap_count,latency_calm_overlap_count,spread_calm_overlap_count,total_fees,gross_pnl,pnl_net,elapsed_s
0.65,5,1,0.5,0.25,53842.86404717379,0.8161925601750547,457,373,84,0.45009099905626243,54379.56348633187,54042.86404717379,1221,0.4851380042462845,0.5645514223194749,485,0,0,1000.1859956236324,0.007539196264121589,0,3002577,2134488,212,857318,0,0,942,0,0,457,0,0,485,0,0,1221,0,2,0,0,0,1320.1675528262392,55163.03160000003,53842.86404717379,18.142459
0.65,5,1,0.5,0.35,58335.72222014162,0.8257261410788381,482,398,84,0.45009099905626243,58872.4216592997,58535.72222014162,1275,0.4903357070193286,0.5892116182572614,501,0,0,1000.1825726141079,0.007175610622408059,0,3002577,2134488,212,857318,0,0,983,0,0,482,0,0,501,0,0,1275,0,2,0,0,0,1414.4323798584,59750.15460000002,58335.72222014162,18.2741295
0.65,5,1,0.6,0.25,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2141551,212,860210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.263211583
0.65,5,1,0.6,0.35,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2141551,212,860210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.311979209
0.65,5,1.5,0.5,0.25,53842.86404717379,0.8161925601750547,457,373,84,0.45009099905626243,54379.56348633187,54042.86404717379,1221,0.4851380042462845,0.5645514223194749,485,0,0,1000.1859956236324,0.007539196264121589,0,3002577,2134488,212,857318,0,0,942,0,0,457,0,0,485,0,0,1221,0,2,0,0,0,1320.1675528262392,55163.03160000003,53842.86404717379,17.912332583
0.65,5,1.5,0.5,0.35,58335.72222014162,0.8257261410788381,482,398,84,0.45009099905626243,58872.4216592997,58535.72222014162,1275,0.4903357070193286,0.5892116182572614,501,0,0,1000.1825726141079,0.007175610622408059,0,3002577,2134488,212,857318,0,0,983,0,0,482,0,0,501,0,0,1275,0,2,0,0,0,1414.4323798584,59750.15460000002,58335.72222014162,18.069914084
0.65,5,1.5,0.6,0.25,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2141551,212,860210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.285127708
0.65,5,1.5,0.6,0.35,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2141551,212,860210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.267647875
0.65,6,1,0.5,0.25,51234.38727724792,0.8571428571428571,385,330,55,0.39576304607002294,51434.38727724792,51434.38727724792,1052,0.4794520547945205,0.5766233766233766,418,0,0,1000.1792207792208,0.007309656898678369,0,3002577,2138357,212,858864,0,0,803,0,0,385,0,0,418,0,0,1052,0,2,0,0,0,1163.8756227520805,52398.2629,51234.38727724792,17.966484375
0.65,6,1,0.5,0.35,55808.17986669362,0.8655256723716381,409,354,55,0.39576304607002294,56008.17986669362,56008.17986669362,1106,0.4840236686390533,0.5965770171149144,436,0,0,1000.1760391198044,0.007099344681714236,0,3002577,2138357,212,858864,0,0,845,0,0,409,0,0,436,0,0,1106,0,2,0,0,0,1263.4811333063997,57071.66100000002,55808.17986669362,17.843695541
0.65,6,1,0.6,0.25,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2141551,212,860210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.220166708
0.65,6,1,0.6,0.35,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2141551,212,860210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.294793375
0.65,6,1.5,0.5,0.25,51234.38727724792,0.8571428571428571,385,330,55,0.39576304607002294,51434.38727724792,51434.38727724792,1052,0.4794520547945205,0.5766233766233766,418,0,0,1000.1792207792208,0.007309656898678369,0,3002577,2138357,212,858864,0,0,803,0,0,385,0,0,418,0,0,1052,0,2,0,0,0,1163.8756227520805,52398.2629,51234.38727724792,17.831773167
0.65,6,1.5,0.5,0.35,55808.17986669362,0.8655256723716381,409,354,55,0.39576304607002294,56008.17986669362,56008.17986669362,1106,0.4840236686390533,0.5965770171149144,436,0,0,1000.1760391198044,0.007099344681714236,0,3002577,2138357,212,858864,0,0,845,0,0,409,0,0,436,0,0,1106,0,2,0,0,0,1263.4811333063997,57071.66100000002,55808.17986669362,6.153420334
0.65,6,1.5,0.6,0.25,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2141551,212,860210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.123097292
0.65,6,1.5,0.6,0.35,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,3002577,2141551,212,860210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.697738958
