CALM_PERSISTENCE_MAX_ASK,CALM_PERSISTENCE_MIN_EXPECTED_EDGE,pnl,win_rate,trades,wins,losses,max_dd,hwm,final_balance,signals,fill_rate,partial_fill_rate,no_fill_count,spread_legging_count,residual_position_count,avg_fill_latency_ms,avg_slippage,raw_event_batches,legacy_snapshot_batches,dislocation_regime_count,structural_pair_regime_count,calm_regime_count,dislocation_queued,structural_pair_queued,calm_queued,dislocation_filled,structural_pair_filled,calm_filled,dislocation_missed,structural_pair_missed,calm_missed,latency_arb_candidates,spread_capture_candidates,calm_persistence_candidates,router_blocked_count,capital_blocked_count,latency_spread_overlap_count,latency_calm_overlap_count,spread_calm_overlap_count,total_fees,gross_pnl,pnl_net,elapsed_s
0.6,0,46991.90133569305,0.8784530386740331,362,318,44,0.2729717678639282,47191.90133569305,47191.90133569305,548,0.6728624535315985,0.4889502762430939,176,0,0,1000.182320441989,0.012008595005184652,0,3002577,2425847,212,574094,0,0,538,0,0,362,0,0,176,0,0,673,0,0,0,0,0,1064.45456430696,48056.35590000001,46991.90133569305,18.384950292
0.6,0.03,45329.15178465874,0.8781869688385269,353,310,43,0.2729717678639282,45529.15178465874,45529.15178465874,532,0.6762452107279694,0.47592067988668557,169,0,0,1000.1756373937677,0.012050556592998172,0,3002577,2425847,212,574094,0,0,522,0,0,353,0,0,169,0,0,654,0,0,0,0,0,1027.8210153412795,46356.97280000002,45329.15178465874,18.395923583
0.6,0.05,43390.62076656442,0.8746355685131195,343,300,43,0.2729717678639282,43590.62076656442,43590.62076656442,516,0.6778656126482213,0.46355685131195334,163,0,0,1000.1865889212828,0.012270562766885436,0,3002577,2425847,212,574094,0,0,506,0,0,343,0,0,163,0,0,636,0,0,0,0,0,987.1167334355995,44377.73750000002,43390.62076656442,18.365541875
0.6,0.08,39815.5608977889,0.8711656441717791,326,284,42,0.28079618812238466,40015.5608977889,40015.5608977889,486,0.6848739495798319,0.4601226993865031,150,0,0,1000.180981595092,0.012120332350659554,0,3002577,2425847,212,574094,0,0,476,0,0,326,0,0,150,0,0,599,0,0,0,0,0,909.9432022111197,40725.50410000002,39815.5608977889,18.369193583
0.65,0,47944.53247127481,0.8716049382716049,405,353,52,0.262906801311039,48822.14830785529,48144.53247127481,589,0.6994818652849741,0.4691358024691358,174,0,0,1000.1827160493827,0.0167318840111467,0,3002577,2424406,212,573734,0,0,579,0,0,405,0,0,174,0,0,739,0,0,0,0,0,1135.9810287252012,49080.513500000015,47944.53247127481,18.412784375
0.65,0.03,46698.47864538976,0.8746803069053708,391,342,49,0.2534461880976742,46898.47864538976,46898.47864538976,566,0.7032374100719424,0.4475703324808184,165,0,0,1000.1739130434783,0.01627574858394403,0,3002577,2424399,212,573732,0,0,556,0,0,391,0,0,165,0,0,710,0,0,0,0,0,1075.4303546102408,47773.909,46698.47864538976,18.428647834
0.65,0.05,44824.382720551446,0.8746666666666667,375,328,47,0.21110626979654448,45024.382720551446,45024.382720551446,541,0.7088846880907372,0.44,154,0,0,1000.184,0.016582373349097023,0,3002577,2424399,212,573732,0,0,529,0,0,375,0,0,154,0,0,681,0,1,0,0,0,1035.2009794485602,45859.5837,44824.382720551446,18.369264666
0.65,0.08,40313.41845742545,0.8696883852691218,353,307,46,0.31355210953057905,40513.41845742545,40513.41845742545,502,0.721881390593047,0.43342776203966005,136,0,0,1000.1784702549575,0.016651423856463392,0,3002577,2424353,212,573778,0,0,489,0,0,353,0,0,136,0,0,628,0,1,0,0,0,933.6351425745602,41247.05360000001,40313.41845742545,18.391050417
0.75,0,43796.78031454569,0.8571428571428571,462,396,66,0.3452416453338494,44329.01267384937,43996.78031454569,639,0.75,0.34415584415584416,154,0,0,1000.1861471861472,0.02285043566609281,0,3002577,2423655,212,573578,0,0,616,0,0,462,0,0,154,0,0,813,0,3,0,0,0,1065.985785454321,44862.766100000015,43796.78031454569,18.448393792
0.75,0.03,43412.46290892912,0.8729792147806005,433,378,55,0.28152406476578934,43612.46290892912,43612.46290892912,595,0.7478411053540587,0.3556581986143187,146,0,0,1000.1732101616628,0.02246385325008916,0,3002577,2424399,212,573732,0,0,579,0,0,433,0,0,146,0,0,758,0,0,0,0,0,1024.9122910708797,44437.3752,43412.46290892912,18.442674209
0.75,0.05,41578.88140698016,0.8746928746928747,407,356,51,0.26556541415072116,41778.88140698016,41778.88140698016,559,0.7495395948434622,0.3538083538083538,136,0,0,1000.1891891891892,0.02284666102180021,0,3002577,2424353,212,573778,0,0,543,0,0,407,0,0,136,0,0,712,0,0,0,0,0,982.7057930198399,42561.5872,41578.88140698016,18.454699125
0.75,0.08,35972.432978847835,0.8679245283018868,371,322,49,0.3508528809617551,36172.432978847835,36172.432978847835,512,0.7633744855967078,0.3450134770889488,115,0,0,1000.1725067385445,0.02309491775368827,0,3002577,2424353,212,573778,0,0,486,0,0,371,0,0,115,0,0,642,0,2,0,0,0,854.5248211521601,36826.9578,35972.432978847835,18.408191917
