LATENCY_ARB_MOMENTUM_THRESHOLD,LATENCY_ARB_MAX_ASK,LATENCY_ARB_MAX_POSITION_FRACTION,LATENCY_ARB_COOLDOWN_MS,pnl,win_rate,trades,wins,losses,max_dd,hwm,final_balance,signals,fill_rate,partial_fill_rate,no_fill_count,spread_legging_count,residual_position_count,avg_fill_latency_ms,avg_slippage,raw_event_batches,legacy_snapshot_batches,dislocation_regime_count,structural_pair_regime_count,calm_regime_count,dislocation_queued,structural_pair_queued,calm_queued,dislocation_filled,structural_pair_filled,calm_filled,dislocation_missed,structural_pair_missed,calm_missed,latency_arb_candidates,spread_capture_candidates,calm_persistence_candidates,router_blocked_count,capital_blocked_count,latency_spread_overlap_count,latency_calm_overlap_count,spread_calm_overlap_count,total_fees,gross_pnl,pnl_net,elapsed_s
0.0006,0.5,0.03,30000,0,0,0,0,0,0,100,100,5,0,0,0,0,0,0,0,59767459,0,59416491,0,350818,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,271.07974
0.0006,0.5,0.03,60000,0,0,0,0,0,0,100,100,5,0,0,0,0,0,0,0,59767459,0,59416491,0,350818,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,250.89920675
0.0006,0.5,0.03,120000,0,0,0,0,0,0,100,100,5,0,0,0,0,0,0,0,59767459,0,59416491,0,350818,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,231.666760375
0.0006,0.5,0.05,30000,0,0,0,0,0,0,100,100,5,0,0,0,0,0,0,0,59767459,0,59416491,0,350818,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,236.918372709
0.0006,0.5,0.05,60000,0,0,0,0,0,0,100,100,5,0,0,0,0,0,0,0,59767459,0,59416491,0,350818,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,237.241850459
0.0006,0.5,0.05,120000,0,0,0,0,0,0,100,100,5,0,0,0,0,0,0,0,59767459,0,59416491,0,350818,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,234.60872175
0.0006,0.5,0.075,30000,15.536689368000012,1,2,2,0,0,115.53668936800001,115.53668936800001,5,0.4,0,3,0,0,253.5,0.004838709677419359,59767459,0,59416491,0,350818,5,0,0,2,0,0,3,0,0,5,0,0,0,0,0,0,0,0.273310632,15.810000000000011,15.536689368000012,237.282813333
0.0006,0.5,0.075,60000,15.536689368000012,1,2,2,0,0,115.53668936800001,115.53668936800001,5,0.4,0,3,0,0,253.5,0.004838709677419359,59767459,0,59416491,0,350818,5,0,0,2,0,0,3,0,0,5,0,0,0,0,0,0,0,0.273310632,15.810000000000011,15.536689368000012,230.687754542
0.0006,0.5,0.075,120000,15.536689368000012,1,2,2,0,0,115.53668936800001,115.53668936800001,5,0.4,0,3,0,0,253.5,0.004838709677419359,59767459,0,59416491,0,350818,5,0,0,2,0,0,3,0,0,5,0,0,0,0,0,0,0,0.273310632,15.810000000000011,15.536689368000012,252.362115209
0.0006,0.5,0.1,30000,21.049708175999996,1,2,2,0,0,121.049708176,121.049708176,5,0.4,0,3,0,0,253.5,0.004761904761904766,59767459,0,59416491,0,350818,5,0,0,2,0,0,3,0,0,5,0,0,0,0,0,0,0,0.37029182399999994,21.419999999999995,21.049708175999996,295.870008375
0.0006,0.5,0.1,60000,21.049708175999996,1,2,2,0,0,121.049708176,121.049708176,5,0.4,0,3,0,0,253.5,0.004761904761904766,59767459,0,59416491,0,350818,5,0,0,2,0,0,3,0,0,5,0,0,0,0,0,0,0,0.37029182399999994,21.419999999999995,21.049708175999996,239.381191208
0.0006,0.5,0.1,120000,21.049708175999996,1,2,2,0,0,121.049708176,121.049708176,5,0.4,0,3,0,0,253.5,0.004761904761904766,59767459,0,59416491,0,350818,5,0,0,2,0,0,3,0,0,5,0,0,0,0,0,0,0,0.37029182399999994,21.419999999999995,21.049708175999996,245.681798
0.0006,0.5,0.125,30000,26.562726984000008,1,2,2,0,0,126.56272698400001,126.56272698400001,5,0.4,0,3,0,0,253.5,0.004716981132075476,59767459,0,59416491,0,350818,5,0,0,2,0,0,3,0,0,5,0,0,0,0,0,0,0,0.46727301599999993,27.03000000000001,26.562726984000008,236.007194041
0.0006,0.5,0.125,60000,26.562726984000008,1,2,2,0,0,126.56272698400001,126.56272698400001,5,0.4,0,3,0,0,253.5,0.004716981132075476,59767459,0,59416491,0,350818,5,0,0,2,0,0,3,0,0,5,0,0,0,0,0,0,0,0.46727301599999993,27.03000000000001,26.562726984000008,242.823237666
0.0006,0.5,0.125,120000,26.562726984000008,1,2,2,0,0,126.56272698400001,126.56272698400001,5,0.4,0,3,0,0,253.5,0.004716981132075476,59767459,0,59416491,0,350818,5,0,0,2,0,0,3,0,0,5,0,0,0,0,0,0,0,0.46727301599999993,27.03000000000001,26.562726984000008,237.808413792
0.0006,0.55,0.03,30000,0,0,0,0,0,0,100,100,6,0,0,0,0,0,0,0,59767459,0,59416491,0,350818,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,239.103313375
0.0006,0.55,0.03,60000,0,0,0,0,0,0,100,100,6,0,0,0,0,0,0,0,59767459,0,59416491,0,350818,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,232.5794805
0.0006,0.55,0.03,120000,0,0,0,0,0,0,100,100,6,0,0,0,0,0,0,0,59767459,0,59416491,0,350818,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,270.533779625
0.0006,0.55,0.05,30000,0,0,0,0,0,0,100,100,6,0,0,0,0,0,0,0,59767459,0,59416491,0,350818,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,231.912927
0.0006,0.55,0.05,60000,0,0,0,0,0,0,100,100,6,0,0,0,0,0,0,0,59767459,0,59416491,0,350818,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,230.734214542
0.0006,0.55,0.05,120000,0,0,0,0,0,0,100,100,6,0,0,0,0,0,0,0,59767459,0,59416491,0,350818,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,236.32015875
0.0006,0.55,0.075,30000,13.26727712799999,1,2,2,0,0,113.26727712799999,113.26727712799999,6,0.3333333333333333,0,4,0,0,258,0.005185185185185189,59767459,0,59416491,0,350818,6,0,0,2,0,0,4,0,0,6,0,0,0,0,0,0,0,0.24272287199999998,13.50999999999999,13.26727712799999,243.066863834
0.0006,0.55,0.075,60000,13.26727712799999,1,2,2,0,0,113.26727712799999,113.26727712799999,6,0.3333333333333333,0,4,0,0,258,0.005185185185185189,59767459,0,59416491,0,350818,6,0,0,2,0,0,4,0,0,6,0,0,0,0,0,0,0,0.24272287199999998,13.50999999999999,13.26727712799999,232.058617667
0.0006,0.55,0.075,120000,13.26727712799999,1,2,2,0,0,113.26727712799999,113.26727712799999,6,0.3333333333333333,0,4,0,0,258,0.005185185185185189,59767459,0,59416491,0,350818,6,0,0,2,0,0,4,0,0,6,0,0,0,0,0,0,0,0.24272287199999998,13.50999999999999,13.26727712799999,238.289874834
0.0006,0.55,0.1,30000,18.177313127999994,1,2,2,0,0,118.177313128,118.177313128,6,0.3333333333333333,0,4,0,0,258,0.00513513513513514,59767459,0,59416491,0,350818,6,0,0,2,0,0,4,0,0,6,0,0,0,0,0,0,0,0.332686872,18.509999999999994,18.177313127999994,232.641872208
0.0006,0.55,0.1,60000,18.177313127999994,1,2,2,0,0,118.177313128,118.177313128,6,0.3333333333333333,0,4,0,0,258,0.00513513513513514,59767459,0,59416491,0,350818,6,0,0,2,0,0,4,0,0,6,0,0,0,0,0,0,0,0.332686872,18.509999999999994,18.177313127999994,242.449593125
0.0006,0.55,0.1,120000,18.177313127999994,1,2,2,0,0,118.177313128,118.177313128,6,0.3333333333333333,0,4,0,0,258,0.00513513513513514,59767459,0,59416491,0,350818,6,0,0,2,0,0,4,0,0,6,0,0,0,0,0,0,0,0.332686872,18.509999999999994,18.177313127999994,239.18340425
0.0006,0.55,0.125,30000,23.107708984,1,2,2,0,0,123.107708984,123.107708984,6,0.3333333333333333,0,4,0,0,258,0.005319148936170218,59767459,0,59416491,0,350818,6,0,0,2,0,0,4,0,0,6,0,0,0,0,0,0,0,0.42229101599999996,23.529999999999998,23.107708984,236.448215917
0.0006,0.55,0.125,60000,23.107708984,1,2,2,0,0,123.107708984,123.107708984,6,0.3333333333333333,0,4,0,0,258,0.005319148936170218,59767459,0,59416491,0,350818,6,0,0,2,0,0,4,0,0,6,0,0,0,0,0,0,0,0.42229101599999996,23.529999999999998,23.107708984,240.749988458
0.0006,0.55,0.125,120000,23.107708984,1,2,2,0,0,123.107708984,123.107708984,6,0.3333333333333333,0,4,0,0,258,0.005319148936170218,59767459,0,59416491,0,350818,6,0,0,2,0,0,4,0,0,6,0,0,0,0,0,0,0,0.42229101599999996,23.529999999999998,23.107708984,232.104010042
0.0006,0.6,0.03,30000,0,0,0,0,0,0,100,100,11,0,0,0,0,0,0,0,59767459,0,59416491,0,350818,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,244.631124333
0.0006,0.6,0.03,60000,0,0,0,0,0,0,100,100,11,0,0,0,0,0,0,0,59767459,0,59416491,0,350818,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,237.8607795
0.0006,0.6,0.03,120000,0,0,0,0,0,0,100,100,11,0,0,0,0,0,0,0,59767459,0,59416491,0,350818,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,230.263719792
0.0006,0.6,0.05,30000,0,0,0,0,0,0,100,100,11,0,0,0,0,0,0,0,59767459,0,59416491,0,350818,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,279.964008416
0.0006,0.6,0.05,60000,0,0,0,0,0,0,100,100,11,0,0,0,0,0,0,0,59767459,0,59416491,0,350818,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,243.44475125
0.0006,0.6,0.05,120000,0,0,0,0,0,0,100,100,11,0,0,0,0,0,0,0,59767459,0,59416491,0,350818,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,242.619144958
0.0006,0.6,0.075,30000,15.941377903999992,0.8,5,4,1,0.06960706848,115.94137790399999,115.94137790399999,11,0.5,0,5,0,0,258,0,59767459,0,59416491,0,350818,10,0,0,5,0,0,5,0,0,11,0,0,0,0,0,0,0,0.578622096,16.519999999999992,15.941377903999992,244.62092425
0.0006,0.6,0.075,60000,15.941377903999992,0.8,5,4,1,0.06960706848,115.94137790399999,115.94137790399999,11,0.5,0,5,0,0,258,0,59767459,0,59416491,0,350818,10,0,0,5,0,0,5,0,0,11,0,0,0,0,0,0,0,0.578622096,16.519999999999992,15.941377903999992,240.536702708
0.0006,0.6,0.075,120000,15.941377903999992,0.8,5,4,1,0.06960706848,115.94137790399999,115.94137790399999,11,0.5,0,5,0,0,258,0,59767459,0,59416491,0,350818,10,0,0,5,0,0,5,0,0,11,0,0,0,0,0,0,0,0.578622096,16.519999999999992,15.941377903999992,235.871303375
0.0006,0.6,0.1,30000,27.589020559999994,0.8333333333333334,6,5,1,0.09280942463999992,127.58902056,127.58902056,11,0.5454545454545454,0,5,0,0,256.8333333333333,0.01855670103092783,59767459,0,59416491,0,350818,11,0,0,6,0,0,5,0,0,11,0,0,0,0,0,0,0,0.9309794399999999,28.519999999999996,27.589020559999994,239.477479
0.0006,0.6,0.1,60000,27.589020559999994,0.8333333333333334,6,5,1,0.09280942463999992,127.58902056,127.58902056,11,0.5454545454545454,0,5,0,0,256.8333333333333,0.01855670103092783,59767459,0,59416491,0,350818,11,0,0,6,0,0,5,0,0,11,0,0,0,0,0,0,0,0.9309794399999999,28.519999999999996,27.589020559999994,238.295612709
0.0006,0.6,0.1,120000,27.589020559999994,0.8333333333333334,6,5,1,0.09280942463999992,127.58902056,127.58902056,11,0.5454545454545454,0,5,0,0,256.8333333333333,0.01855670103092783,59767459,0,59416491,0,350818,11,0,0,6,0,0,5,0,0,11,0,0,0,0,0,0,0,0.9309794399999999,28.519999999999996,27.589020559999994,240.478342791
0.0006,0.6,0.125,30000,34.08025554400001,0.8333333333333334,6,5,1,0.11601178079999996,134.080255544,134.080255544,11,0.5454545454545454,0,5,0,0,256.8333333333333,0.014999999999999996,59767459,0,59416491,0,350818,11,0,0,6,0,0,5,0,0,11,0,0,0,0,0,0,0,1.1497444559999999,35.23000000000001,34.08025554400001,246.1262345
0.0006,0.6,0.125,60000,34.08025554400001,0.8333333333333334,6,5,1,0.11601178079999996,134.080255544,134.080255544,11,0.5454545454545454,0,5,0,0,256.8333333333333,0.014999999999999996,59767459,0,59416491,0,350818,11,0,0,6,0,0,5,0,0,11,0,0,0,0,0,0,0,1.1497444559999999,35.23000000000001,34.08025554400001,248.083381541
0.0006,0.6,0.125,120000,34.08025554400001,0.8333333333333334,6,5,1,0.11601178079999996,134.080255544,134.080255544,11,0.5454545454545454,0,5,0,0,256.8333333333333,0.014999999999999996,59767459,0,59416491,0,350818,11,0,0,6,0,0,5,0,0,11,0,0,0,0,0,0,0,1.1497444559999999,35.23000000000001,34.08025554400001,240.12150275
0.0006,0.65,0.03,30000,0,0,0,0,0,0,100,100,15,0,0,0,0,0,0,0,59767459,0,59416491,0,350818,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,242.316243959
0.0006,0.65,0.03,60000,0,0,0,0,0,0,100,100,15,0,0,0,0,0,0,0,59767459,0,59416491,0,350818,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,247.042576958
0.0006,0.65,0.03,120000,0,0,0,0,0,0,100,100,15,0,0,0,0,0,0,0,59767459,0,59416491,0,350818,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,241.218581583
0.0006,0.65,0.05,30000,0,0,0,0,0,0,100,100,15,0,0,0,0,0,0,0,59767459,0,59416491,0,350818,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,244.594977792
0.0006,0.65,0.05,60000,0,0,0,0,0,0,100,100,15,0,0,0,0,0,0,0,59767459,0,59416491,0,350818,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,230.383636459
0.0006,0.65,0.05,120000,0,0,0,0,0,0,100,100,15,0,0,0,0,0,0,0,59767459,0,59416491,0,350818,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,233.944140333
0.0006,0.65,0.075,30000,13.301903975999991,0.8,5,4,1,0.06380647944000004,113.30190397599999,113.30190397599999,15,0.35714285714285715,0,9,0,0,261.8,0.006545454545454551,59767459,0,59416491,0,350818,14,0,0,5,0,0,9,0,0,15,0,0,0,0,0,0,0,0.528096024,13.829999999999991,13.301903975999991,225.181727209
0.0006,0.65,0.075,60000,13.301903975999991,0.8,5,4,1,0.06380647944000004,113.30190397599999,113.30190397599999,15,0.35714285714285715,0,9,0,0,261.8,0.006545454545454551,59767459,0,59416491,0,350818,14,0,0,5,0,0,9,0,0,15,0,0,0,0,0,0,0,0.528096024,13.829999999999991,13.301903975999991,227.589515292
0.0006,0.65,0.075,120000,13.301903975999991,0.8,5,4,1,0.06380647944000004,113.30190397599999,113.30190397599999,15,0.35714285714285715,0,9,0,0,261.8,0.006545454545454551,59767459,0,59416491,0,350818,14,0,0,5,0,0,9,0,0,15,0,0,0,0,0,0,0,0.528096024,13.829999999999991,13.301903975999991,227.433687792
0.0006,0.65,0.1,30000,24.045877375999993,0.8333333333333334,6,5,1,0.08700883559999995,124.04587737599999,124.04587737599999,15,0.4,0,9,0,0,260,0.026,59767459,0,59416491,0,350818,15,0,0,6,0,0,9,0,0,15,0,0,0,0,0,0,0,0.8741226239999998,24.91999999999999,24.045877375999993,233.399872292
0.0006,0.65,0.1,60000,24.045877375999993,0.8333333333333334,6,5,1,0.08700883559999995,124.04587737599999,124.04587737599999,15,0.4,0,9,0,0,260,0.026,59767459,0,59416491,0,350818,15,0,0,6,0,0,9,0,0,15,0,0,0,0,0,0,0,0.8741226239999998,24.91999999999999,24.045877375999993,236.664136542
0.0006,0.65,0.1,120000,24.045877375999993,0.8333333333333334,6,5,1,0.08700883559999995,124.04587737599999,124.04587737599999,15,0.4,0,9,0,0,260,0.026,59767459,0,59416491,0,350818,15,0,0,6,0,0,9,0,0,15,0,0,0,0,0,0,0,0.8741226239999998,24.91999999999999,24.045877375999993,235.906128208
0.0006,0.65,0.125,30000,29.774913776000005,0.8333333333333334,6,5,1,0.11021119176,129.774913776,129.774913776,15,0.4,0,9,0,0,260,0.02223214285714286,59767459,0,59416491,0,350818,15,0,0,6,0,0,9,0,0,15,0,0,0,0,0,0,0,1.0850862239999999,30.860000000000007,29.774913776000005,239.467042917
0.0006,0.65,0.125,60000,29.774913776000005,0.8333333333333334,6,5,1,0.11021119176,129.774913776,129.774913776,15,0.4,0,9,0,0,260,0.02223214285714286,59767459,0,59416491,0,350818,15,0,0,6,0,0,9,0,0,15,0,0,0,0,0,0,0,1.0850862239999999,30.860000000000007,29.774913776000005,238.269845209
0.0006,0.65,0.125,120000,29.774913776000005,0.8333333333333334,6,5,1,0.11021119176,129.774913776,129.774913776,15,0.4,0,9,0,0,260,0.02223214285714286,59767459,0,59416491,0,350818,15,0,0,6,0,0,9,0,0,15,0,0,0,0,0,0,0,1.0850862239999999,30.860000000000007,29.774913776000005,240.484345583
0.0006,0.7,0.03,30000,0,0,0,0,0,0,100,100,19,0,0,0,0,0,0,0,59767459,0,59416491,0,350818,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,246.090534833
0.0006,0.7,0.03,60000,0,0,0,0,0,0,100,100,19,0,0,0,0,0,0,0,59767459,0,59416491,0,350818,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,248.223832333
0.0006,0.7,0.03,120000,0,0,0,0,0,0,100,100,19,0,0,0,0,0,0,0,59767459,0,59416491,0,350818,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,240.079847875
0.0006,0.7,0.05,30000,0,0,0,0,0,0,100,100,19,0,0,0,0,0,0,0,59767459,0,59416491,0,350818,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,242.401990167
0.0006,0.7,0.05,60000,0,0,0,0,0,0,100,100,19,0,0,0,0,0,0,0,59767459,0,59416491,0,350818,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,245.27677375
0.0006,0.7,0.05,120000,0,0,0,0,0,0,100,100,19,0,0,0,0,0,0,0,59767459,0,59416491,0,350818,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,242.452992709
0.0006,0.7,0.075,30000,-12.218664328000017,0.42857142857142855,7,3,4,0.12218664328000017,100,87.78133567199998,19,0.4666666666666667,0,8,0,0,254.57142857142858,0.01524590163934426,59767459,0,59416491,0,350818,15,0,0,7,0,0,8,0,0,19,0,0,0,0,0,0,0,0.6286643279999999,-11.590000000000018,-12.218664328000017,244.9997105
0.0006,0.7,0.075,60000,-12.218664328000017,0.42857142857142855,7,3,4,0.12218664328000017,100,87.78133567199998,19,0.4666666666666667,0,8,0,0,254.57142857142858,0.01524590163934426,59767459,0,59416491,0,350818,15,0,0,7,0,0,8,0,0,19,0,0,0,0,0,0,0,0.6286643279999999,-11.590000000000018,-12.218664328000017,230.254665667
