LATENCY_ARB_MOMENTUM_THRESHOLD,LATENCY_ARB_MAX_ASK,LATENCY_ARB_MAX_POSITION_FRACTION,SPREAD_CAPTURE_THRESHOLD,pnl,win_rate,trades,wins,losses,max_dd,hwm,final_balance,signals,fill_rate,partial_fill_rate,no_fill_count,spread_legging_count,residual_position_count,avg_fill_latency_ms,avg_slippage,raw_event_batches,legacy_snapshot_batches,dislocation_regime_count,structural_pair_regime_count,calm_regime_count,dislocation_queued,structural_pair_queued,calm_queued,dislocation_filled,structural_pair_filled,calm_filled,dislocation_missed,structural_pair_missed,calm_missed,latency_arb_candidates,spread_capture_candidates,calm_persistence_candidates,router_blocked_count,capital_blocked_count,latency_spread_overlap_count,latency_calm_overlap_count,spread_calm_overlap_count,total_fees,gross_pnl,pnl_net,elapsed_s
0.0008,0.5,0.03,0.965,95.95695731199999,0.5526315789473685,38,21,17,0.10915555692678272,313.161738224,295.956957312,19056,0.04481132075471698,0.05263157894736842,810,1,1,281.63157894736844,0.00860152404900262,10141915,0,8213040,3,1866919,33,2,813,26,1,11,7,1,802,39,3,19011,0,0,0,0,0,4.688042688,100.64499999999998,95.95695731199999,98.731511875
0.0008,0.5,0.03,0.97,95.95695731199999,0.5526315789473685,38,21,17,0.10915555692678272,313.161738224,295.956957312,19056,0.04481132075471698,0.05263157894736842,810,1,1,281.63157894736844,0.00860152404900262,10141915,0,8213039,5,1866918,33,2,813,26,1,11,7,1,802,39,3,19011,0,0,0,0,0,4.688042688,100.64499999999998,95.95695731199999,95.403806625
0.0008,0.5,0.03,0.975,95.95695731199999,0.5526315789473685,38,21,17,0.10915555692678272,313.161738224,295.956957312,19058,0.04481132075471698,0.05263157894736842,810,1,1,281.63157894736844,0.00860152404900262,10141915,0,8213039,5,1866918,33,2,813,26,1,11,7,1,802,39,4,19011,0,0,0,0,0,4.688042688,100.64499999999998,95.95695731199999,94.200084208
0.0008,0.5,0.03,0.98,95.95695731199999,0.5526315789473685,38,21,17,0.10915555692678272,313.161738224,295.956957312,19058,0.04481132075471698,0.05263157894736842,810,1,1,281.63157894736844,0.00860152404900262,10141915,0,8213030,17,1866915,33,2,813,26,1,11,7,1,802,39,4,19011,0,0,0,0,0,4.688042688,100.64499999999998,95.95695731199999,96.397304334
0.0008,0.5,0.03,0.985,95.95695731199999,0.5526315789473685,38,21,17,0.10915555692678272,313.161738224,295.956957312,19058,0.04481132075471698,0.05263157894736842,810,1,1,281.63157894736844,0.00860152404900262,10141915,0,8213030,17,1866915,33,2,813,26,1,11,7,1,802,39,4,19011,0,0,0,0,0,4.688042688,100.64499999999998,95.95695731199999,94.692258458
0.0008,0.5,0.05,0.965,168.7439690423198,0.5714285714285714,42,24,18,0.14535128462644656,409.1847480319999,368.7439690423198,19056,0.04929577464788732,0.11904761904761904,810,1,1,279.6904761904762,0.007589867017592465,10141915,0,8213040,3,1866919,37,2,813,30,1,11,7,1,802,39,3,19011,0,0,0,0,0,8.304130957679998,177.0480999999998,168.7439690423198,94.943782084
0.0008,0.5,0.05,0.97,168.7439690423198,0.5714285714285714,42,24,18,0.14535128462644656,409.1847480319999,368.7439690423198,19056,0.04929577464788732,0.11904761904761904,810,1,1,279.6904761904762,0.007589867017592465,10141915,0,8213039,5,1866918,37,2,813,30,1,11,7,1,802,39,3,19011,0,0,0,0,0,8.304130957679998,177.0480999999998,168.7439690423198,95.975074
0.0008,0.5,0.05,0.975,168.7439690423198,0.5714285714285714,42,24,18,0.14535128462644656,409.1847480319999,368.7439690423198,19058,0.04929577464788732,0.11904761904761904,810,1,1,279.6904761904762,0.007589867017592465,10141915,0,8213039,5,1866918,37,2,813,30,1,11,7,1,802,39,4,19011,0,0,0,0,0,8.304130957679998,177.0480999999998,168.7439690423198,214.407105083
0.0008,0.5,0.05,0.98,168.7439690423198,0.5714285714285714,42,24,18,0.14535128462644656,409.1847480319999,368.7439690423198,19058,0.04929577464788732,0.11904761904761904,810,1,1,279.6904761904762,0.007589867017592465,10141915,0,8213030,17,1866915,37,2,813,30,1,11,7,1,802,39,4,19011,0,0,0,0,0,8.304130957679998,177.0480999999998,168.7439690423198,211.789994541
0.0008,0.5,0.05,0.985,168.7439690423198,0.5714285714285714,42,24,18,0.14535128462644656,409.1847480319999,368.7439690423198,19058,0.04929577464788732,0.11904761904761904,810,1,1,279.6904761904762,0.007589867017592465,10141915,0,8213030,17,1866915,37,2,813,30,1,11,7,1,802,39,4,19011,0,0,0,0,0,8.304130957679998,177.0480999999998,168.7439690423198,207.60399425
