LATENCY_ARB_MOMENTUM_THRESHOLD,LATENCY_ARB_MAX_ASK,LATENCY_ARB_MAX_POSITION_FRACTION,pnl,win_rate,trades,wins,losses,max_dd,hwm,final_balance,signals,fill_rate,partial_fill_rate,no_fill_count,spread_legging_count,residual_position_count,avg_fill_latency_ms,avg_slippage,raw_event_batches,legacy_snapshot_batches,dislocation_regime_count,structural_pair_regime_count,calm_regime_count,dislocation_queued,structural_pair_queued,calm_queued,dislocation_filled,structural_pair_filled,calm_filled,dislocation_missed,structural_pair_missed,calm_missed,latency_arb_candidates,spread_capture_candidates,calm_persistence_candidates,router_blocked_count,capital_blocked_count,latency_spread_overlap_count,latency_calm_overlap_count,spread_calm_overlap_count,total_fees,gross_pnl,pnl_net,elapsed_s
0.0008,0.5,0.03,89.34648642399992,0.5384615384615384,39,21,18,0.1568322415771628,323.13169074399997,289.3464864239999,19147,0.04572098475967175,0.05128205128205128,814,1,1,281.7692307692308,0.008392626372157276,10141915,0,8187369,5,1861520,34,2,817,27,1,11,7,1,806,40,3,19105,0,0,0,0,0,4.788513576,94.13499999999992,89.34648642399992,116.94713775
0.0008,0.5,0.05,158.4187091943199,0.5581395348837209,43,24,19,0.19201682747651155,422.34225739199996,358.4187091943199,19147,0.050175029171528586,0.11627906976744186,814,1,1,279.86046511627904,0.007539639053457073,10141915,0,8187369,5,1861520,38,2,817,31,1,11,7,1,806,40,3,19105,0,0,0,0,0,8.25939080568,166.6780999999999,158.4187091943199,113.641939792
0.0008,0.5,0.075,217.35918648072004,0.5681818181818182,44,25,19,0.22821131518248078,495.0669182624,417.35918648072004,19149,0.051222351571594875,0.13636363636363635,815,2,2,280.3181818181818,0.007701846634244388,10141915,0,8187369,5,1861520,38,4,817,31,2,11,7,2,806,40,3,19105,0,0,0,0,0,11.81591351928,229.17510000000004,217.35918648072004,108.583330667
0.0008,0.5,0.1,262.28352940872,0.5681818181818182,44,25,19,0.2843076922876291,562.8015020224001,462.28352940872,19149,0.051222351571594875,0.1590909090909091,815,2,2,280.3181818181818,0.007195411705080695,10141915,0,8187369,5,1861520,38,4,817,31,2,11,7,2,806,40,3,19105,0,0,0,0,0,15.191570591280003,277.47510000000005,262.28352940872,107.982090542
0.0008,0.5,0.125,227.07440144959986,0.5454545454545454,44,24,20,0.35285373743137344,620.9251166416,427.07440144959986,19149,0.05605095541401274,0.1590909090909091,741,2,2,281.3863636363636,0.007472181136488717,10141915,0,8187369,5,1861520,37,4,744,31,2,11,6,2,733,40,3,19105,0,1539,0,0,0,16.191598550400002,243.26599999999985,227.07440144959986,109.563298458
0.0008,0.55,0.03,233.36222004232002,0.6349206349206349,63,40,23,0.07703970408288152,469.53506229831993,433.36222004232,19383,0.08056265984654731,0.047619047619047616,719,2,2,291.8253968253968,0.010303247426912373,10141915,0,8244015,5,1876404,49,4,729,42,2,19,7,2,710,59,3,19320,0,0,0,0,0,10.57087995768,243.93310000000002,233.36222004232002,109.414965167
0.0008,0.55,0.05,298.09157169287994,0.6231884057971014,69,43,26,0.10896510150069562,552.93442785832,498.09157169287994,19383,0.08756345177664974,0.08695652173913043,719,2,2,289.5072463768116,0.011732657734652688,10141915,0,8244015,5,1876404,55,4,729,48,2,19,7,2,710,59,3,19320,0,0,0,0,0,16.930328307120003,315.02189999999996,298.09157169287994,208.91651625
0.0008,0.55,0.075,357.28222660328015,0.6231884057971014,69,43,26,0.16343606321853926,664.1504997847201,557.2822266032802,19383,0.08756345177664974,0.13043478260869565,719,2,2,289.5072463768116,0.011975792579654924,10141915,0,8244015,5,1876404,55,4,729,48,2,19,7,2,710,59,3,19320,0,0,0,0,0,24.086673396720006,381.36890000000017,357.28222660328015,255.820569875
0.0008,0.55,0.1,404.7291903642399,0.6231884057971014,69,43,26,0.20553012555659322,758.3827693936797,604.7291903642399,19383,0.08756345177664974,0.15942028985507245,719,2,2,289.5072463768116,0.011902542218141418,10141915,0,8244015,5,1876404,55,4,729,48,2,19,7,2,710,59,3,19320,0,0,0,0,0,30.65490963576,435.38409999999993,404.7291903642399,256.743799625
0.0008,0.55,0.125,381.9859550144803,0.6142857142857143,70,43,27,0.23261819029244418,748.0144397319201,581.9859550144803,19383,0.08883248730964467,0.14285714285714285,718,2,2,290.1142857142857,0.01270760258532799,10141915,0,8244015,5,1876404,55,4,729,49,2,19,6,2,710,59,3,19320,0,0,0,0,0,33.95694498551999,415.9429000000003,381.9859550144803,118.743765917
0.0008,0.6,0.03,487.1910007933601,0.7037037037037037,108,76,32,0.0795230454555284,724.49444020936,687.1910007933601,19426,0.17447495961227788,0.05555555555555555,511,2,2,293.23148148148147,0.010328322648879184,10141915,0,8209427,5,1870202,88,4,527,76,2,30,12,2,497,102,3,19320,0,0,0,0,0,23.155299206640006,510.3463000000001,487.1910007933601,118.89540825
0.0008,0.6,0.05,704.4739375892,0.6929824561403509,114,79,35,0.12899385116810091,976.9499446826399,904.4739375892,19227,0.1859706362153344,0.10526315789473684,499,2,2,292.3157894736842,0.01086697179642291,10141915,0,8196349,5,1870038,93,4,516,82,2,30,11,2,486,100,3,19123,0,0,0,0,0,38.74476241079999,743.2187,704.4739375892,117.53674725
0.0008,0.6,0.075,1058.0863915747993,0.6956521739130435,115,80,35,0.19060535845631327,1426.0633632682395,1258.0863915747993,19227,0.18729641693811075,0.1565217391304348,499,2,2,291.9913043478261,0.00997251272597313,10141915,0,8196349,5,1870038,94,4,516,83,2,30,11,2,486,100,3,19123,0,0,0,0,0,64.11930842519999,1122.2056999999993,1058.0863915747993,113.03569825
