LATENCY_ARB_MOMENTUM_THRESHOLD,LATENCY_ARB_MAX_ASK,MAX_POSITION_FRACTION,pnl,win_rate,trades,wins,losses,max_dd,hwm,final_balance,signals,elapsed_s
0.001,0.45,0.05,2224.855643916817,0.4504201680672269,595,268,327,0.3851303267505462,2854.955643916817,2424.855643916817,652,12.229991625
0.001,0.45,0.075,3136.7570375340642,0.4504201680672269,595,268,327,0.4536147255816114,4456.447037534063,3336.7570375340642,652,10.356639209
0.001,0.45,0.1,4178.629692621469,0.4504201680672269,595,268,327,0.47347994665453114,6067.289692621467,4378.629692621469,652,10.896596541
0.001,0.45,0.125,204.4414427860695,0.436046511627907,344,150,194,0.5233160630876367,848.4478109452735,404.4414427860695,661,10.538915
0.001,0.45,0.15,199.23333333333312,0.43731778425655976,343,150,193,0.5163310354920256,825.4268159203978,399.2333333333331,661,10.760015209
0.001,0.5,0.05,11456.265317502935,0.48296122209165687,851,411,440,0.3638892993107979,11662.685317502936,11656.265317502935,978,10.916457291
0.001,0.5,0.075,27782.526371631106,0.48296122209165687,851,411,440,0.49452018267283554,28100.216371631108,27982.526371631106,978,9.944964584000001
0.001,0.5,0.1,2004.8230136493862,0.4689655172413793,580,272,308,0.5311199641727169,4702.317960199005,2204.823013649386,989,10.164498209
0.001,0.5,0.125,2714.3083582089544,0.4666666666666667,495,231,264,0.5106795231858413,5955.827512437811,2914.3083582089544,992,10.028743334
0.001,0.5,0.15,3064.142935323385,0.4676113360323887,494,231,263,0.5082943257623134,6638.408109452737,3264.142935323385,992,9.909793042
0.001,0.55,0.05,10912.882992556544,0.5180616740088105,1135,588,547,0.4164914388950954,11112.882992556544,11112.882992556544,1352,11.834124291
0.001,0.55,0.075,26.893830845771163,0.47706422018348627,327,156,171,0.507822067814565,460.99960199004954,226.89383084577116,1402,10.086721625
0.001,0.55,0.1,43.875970149253675,0.48502994011976047,167,81,86,0.5066650792158743,494.3415920398008,243.87597014925367,1425,9.895381916
0.001,0.55,0.125,63.343930348258766,0.5071428571428571,140,71,69,0.5040385082251054,530.9765671641791,263.34393034825877,1431,9.98532425
0.001,0.55,0.15,67.25601990049779,0.5434782608695652,92,50,42,0.5196870043444891,556.4205472636818,267.2560199004978,1433,9.638405542
0.001,0.6,0.05,1195.479553856694,0.5232903865213082,1009,528,481,0.5068226081080431,2829.569191124661,1395.479553856694,1716,10.453165375
0.001,0.6,0.075,1600.961853440365,0.5213849287169042,982,512,470,0.5287641570198812,3821.7845273631847,1800.961853440365,1717,10.033768125
0.001,0.6,0.1,1088.3213432835826,0.5211062590975255,687,358,329,0.5094353702104287,2626.20104477612,1288.3213432835826,1744,12.344724542
0.001,0.6,0.125,981.5293034825859,0.5249266862170088,682,358,324,0.5218946723736622,2471.27407960199,1181.5293034825859,1747,9.9748345
0.001,0.6,0.15,1019.7860199004986,0.5249266862170088,682,358,324,0.5475668493041782,2696.0580099502495,1219.7860199004986,1747,10.671309667
0.001,0.65,0.05,1288.4836318407943,0.5584795321637427,1026,573,453,0.5007596937503244,2981.497313432836,1488.4836318407943,2094,10.686984083
0.001,0.65,0.075,63.35517412935337,0.5540540540540541,222,123,99,0.5043336541990963,531.315422885572,263.3551741293534,2179,9.773182833
0.001,0.65,0.1,101.06203980099548,0.5783783783783784,185,107,78,0.5154845881130542,621.367313432836,301.0620398009955,2188,10.361268542
0.001,0.65,0.125,108.00805970149202,0.5815217391304348,184,107,77,0.5094446936898723,627.87631840796,308.008059701492,2188,9.958305875
0.001,0.65,0.15,74.0700995024875,0.5815217391304348,184,107,77,0.54549835535489,603.0123383084577,274.0700995024875,2188,10.246665333
0.0012,0.45,0.05,3585.8398466663325,0.4681933842239186,393,184,209,0.3435771583458486,4606.809846666332,3785.8398466663325,422,9.942346291
0.0012,0.45,0.075,6482.2494541550905,0.4681933842239186,393,184,209,0.4386409013120371,9127.739454155091,6682.2494541550905,422,10.533271083
0.0012,0.45,0.1,-92.53000000000002,0.19047619047619047,21,4,17,0.5089106196307807,218.84000000000003,107.46999999999998,440,11.308958
0.0012,0.45,0.125,-95.49,0.21052631578947367,19,4,15,0.5299964022306171,222.36,104.51,440,10.441134709
0.0012,0.45,0.15,-93.01000000000003,0.23529411764705882,17,4,13,0.5275128069245718,226.44,106.98999999999997,440,12.024987124999999
0.0012,0.5,0.05,25495.32622737719,0.5301418439716312,564,299,265,0.3208175816489147,28380.256227377176,25695.32622737719,649,11.000227584
0.0012,0.5,0.075,90014.72247696838,0.5301418439716312,564,299,265,0.3892926466091538,116132.99247696839,90214.72247696838,649,11.030678833
0.0012,0.5,0.1,217483.77344764463,0.5301418439716312,564,299,265,0.4742053079874864,325461.79344764474,217683.77344764463,649,10.216130291
0.0012,0.5,0.125,332739.72642442276,0.5319148936170213,517,275,242,0.5095045566536075,678782.5064244227,332939.72642442276,649,9.956974959
0.0012,0.5,0.15,547630.7670831825,0.5329457364341085,516,275,241,0.5316078353953784,1169598.4870831824,547830.7670831825,649,12.195101875
0.0012,0.55,0.05,32329.728547870713,0.5533596837944664,759,420,339,0.3396826093979202,33754.938547870726,32529.728547870713,895,10.711519958
0.0012,0.55,0.075,-68.40124378109482,0.4845360824742268,97,47,50,0.5056968104588853,266.23084577114423,131.59875621890518,926,10.169473
0.0012,0.55,0.1,-59.77930348258721,0.49473684210526314,95,47,48,0.509808317394713,286.05278606965175,140.2206965174128,926,10.353592542
0.0012,0.55,0.125,-56.78636815920416,0.49473684210526314,95,47,48,0.5259643186377471,302.11572139303485,143.21363184079584,926,10.336995083
0.0012,0.55,0.15,-43.37243781094554,0.5,94,47,47,0.5090193624734766,319.00965174129345,156.62756218905446,928,10.741547625
0.0012,0.6,0.05,72506.84054506829,0.5780409041980624,929,537,392,0.30489141475155135,72706.84054506829,72706.84054506829,1148,11.256117709
0.0012,0.6,0.075,303344.242890847,0.5780409041980624,929,537,392,0.4379199719181205,303544.242890847,303544.242890847,1148,10.487266208
0.0012,0.6,0.1,815678.1219575941,0.5780409041980624,929,537,392,0.4965175111996799,815878.1219575941,815878.1219575941,1148,10.127378958
0.0012,0.6,0.125,-33.692089552238826,0.5,96,48,48,0.5053009981326635,336.18,166.30791044776117,1190,9.497539583
0.0012,0.6,0.15,-20.51208955223882,0.5052631578947369,95,48,47,0.5019481923309808,360.38000000000005,179.48791044776118,1190,11.330868833
0.0012,0.65,0.05,52395.076552441125,0.5916279069767442,1075,636,439,0.39583694510720624,52595.076552441125,52595.076552441125,1354,11.31399875
0.0012,0.65,0.075,51.34577114427853,0.5637583892617449,149,84,65,0.5039885718212925,506.7338308457712,251.34577114427853,1433,10.635547708
0.0012,0.65,0.1,68.01676616915393,0.564625850340136,147,83,64,0.5235044239459167,562.4748258706466,268.0167661691539,1433,10.685606083
0.0012,0.65,0.125,99.8558208955223,0.6046511627906976,86,52,34,0.5015742692629355,601.6058208955224,299.8558208955223,1438,10.612058583
0.0012,0.65,0.15,100.46880597014922,0.6144578313253012,83,51,32,0.5329104531634573,643.2788059701492,300.4688059701492,1438,10.412347208
0.0014,0.45,0.05,2468.2711114875337,0.4924812030075188,266,131,135,0.34147090820934856,3137.721111487532,2668.2711114875337,281,10.786305083
0.0014,0.45,0.075,4769.937262851757,0.4924812030075188,266,131,135,0.4613254085907595,6660.577262851754,4969.937262851757,281,10.488849
0.0014,0.45,0.1,845.8836318407959,0.47058823529411764,170,80,90,0.5320598672795622,2235.08,1045.883631840796,285,10.53960525
0.0014,0.45,0.125,981.5055223880602,0.47619047619047616,168,80,88,0.5081302699804502,2402.07,1181.5055223880602,285,10.630204459
0.0014,0.45,0.15,803.759154228856,0.47619047619047616,168,80,88,0.5458308880915542,2210.1,1003.759154228856,285,10.376374625
0.0014,0.5,0.05,8111.716833237275,0.5384615384615384,390,210,180,0.33956903843262604,10976.206833237276,8311.716833237275,437,10.793223625
0.0014,0.5,0.075,23909.74884637522,0.5384615384615384,390,210,180,0.43749081617435637,37374.97884637522,24109.74884637522,437,10.739573374999999
0.0014,0.5,0.1,51720.23256608903,0.5386740331491713,362,195,167,0.5137060722385333,106767.18256608902,51920.23256608903,437,10.150741667
0.0014,0.5,0.125,5182.855223880597,0.5274261603375527,237,125,112,0.5032632906260825,10836.435323383084,5382.855223880597,439,9.197780042
