LATENCY_ARB_MOMENTUM_THRESHOLD,LATENCY_ARB_MAX_ASK,MAX_POSITION_FRACTION,pnl,win_rate,trades,wins,losses,max_dd,hwm,final_balance,signals,total_fees,pnl_net,elapsed_s
0.0008,0.5,0.03,22269.282248830925,0.5466549295774648,1136,621,515,0.28854619940681164,22589.306609100833,22469.282248830925,1848,914.7361354216722,22269.282248830925,11.992939417
0.0008,0.5,0.05,25985.589145827442,0.5240143369175627,1395,731,664,0.45691271722766796,26305.61350609735,26185.589145827442,1840,1150.9909352634882,25985.589145827442,13.787291625
0.0008,0.5,0.075,25575.425171045357,0.5389072847682119,1208,651,557,0.48569669000409554,25895.449531315266,25775.425171045357,1847,1138.7802414892574,25575.425171045357,14.199402125
0.0008,0.5,0.1,26985.078734359584,0.5329712955779674,1289,687,602,0.4022172606037036,27305.103094629492,27185.078734359584,1835,1198.9935394916745,26985.078734359584,13.726351708
0.0008,0.5,0.125,173.29666300404614,0.46984126984126984,315,148,167,0.5062524702820256,756.047657022752,373.29666300404614,1903,58.21248823973521,173.29666300404614,14.060688125
0.0008,0.55,0.03,75423.21616604253,0.613118399110617,1799,1103,696,0.30677389084451995,75623.21616604253,75623.21616604253,3052,2843.600137614054,75423.21616604253,15.37235925
0.0008,0.55,0.05,64310.73910941615,0.6557835820895522,1072,703,369,0.4480848793803963,64510.73910941615,64510.73910941615,3123,2343.8246974909002,64310.73910941615,14.022272584
0.0008,0.55,0.075,182.66062167475934,0.5014577259475219,686,344,342,0.5009857379522205,766.8330362031223,382.66062167475934,3126,124.74787616525941,182.66062167475934,14.592729708
0.0008,0.55,0.1,-60.37918895775553,0.4793388429752066,121,58,63,0.5031090376982086,280.9888318263363,139.62081104224447,3184,15.805364579646216,-60.37918895775553,14.046368958
0.0008,0.55,0.125,86070.9193785678,0.5963213939980639,2066,1232,834,0.4713835582449976,86270.9193785678,86270.9193785678,3032,3407.6787357781122,86070.9193785678,12.504666333
0.0008,0.6,0.03,63153.52369241677,0.631578947368421,1558,984,574,0.4456650746005468,63353.52369241677,63353.52369241677,3759,2726.552346376498,63153.52369241677,13.706270291
0.0008,0.6,0.05,68894.54440676783,0.6384455239417072,1441,920,521,0.4566503627820558,69094.54440676783,69094.54440676783,3778,3003.512477413979,68894.54440676783,13.548096666
0.0008,0.6,0.075,-67.43394332805809,0.4838709677419355,124,60,64,0.5000926800397374,265.18126736467775,132.5660566719419,3883,15.530594571839181,-67.43394332805809,12.723016333
0.0008,0.6,0.1,559.2291549336261,0.5407801418439716,564,305,259,0.5350199944223825,1632.8210801031755,759.2291549336261,3857,182.45414158378864,559.2291549336261,11.797570042
0.0008,0.6,0.125,114.64380234121842,0.4675324675324675,154,72,82,0.505904261666512,636.8073592426956,314.6438023412184,3868,30.70639964883147,114.64380234121842,12.981491917
0.0008,0.65,0.03,489.571137225445,0.5535714285714286,1456,806,650,0.5022316188508149,1385.3253106062098,689.571137225445,4405,340.0137212677138,489.571137225445,14.857925542
0.0008,0.65,0.05,67384.3704230621,0.6282839575181666,1789,1124,665,0.4195386237892419,67584.3704230621,67584.3704230621,4411,3307.56493670213,67384.3704230621,14.946326125
0.0008,0.65,0.075,-68.86755564527954,0.48739495798319327,238,116,122,0.5180365116799487,272.07962331711116,131.13244435472046,4545,27.42415614279218,-68.86755564527954,13.287748541
0.0008,0.65,0.1,76.42301045121093,0.5205223880597015,536,279,257,0.5068854206519964,560.565479156381,276.4230104512109,4500,87.47758457366497,76.42301045121093,11.865097459
0.0008,0.65,0.125,-100.19553384929054,0.43859649122807015,57,25,32,0.515847261981489,206.1425213852525,99.80446615070946,4559,7.068179620434832,-100.19553384929054,13.175659875
0.0008,0.7,0.03,1070.785049533577,0.597552195824334,1389,830,559,0.5057827513103734,2571.308575131587,1270.785049533577,5169,413.9770169660943,1070.785049533577,14.7670235
0.0008,0.7,0.05,74884.81681825363,0.6465805834528934,2091,1352,739,0.4200086596629967,75084.81681825363,75084.81681825363,5159,3779.289099972005,74884.81681825363,14.537987167
0.0008,0.7,0.075,59.833251443505674,0.5681063122923588,301,171,130,0.5119343527579894,532.3735708747098,259.8332514435057,5286,50.500699302762975,59.833251443505674,13.593871541
0.0008,0.7,0.1,-74.28832917434849,0.5057471264367817,87,44,43,0.510542580170745,256.8388295543777,125.71167082565151,5303,11.880574447980297,-74.28832917434849,13.940349291
0.0008,0.7,0.125,-47.15816813973987,0.5172413793103449,261,135,126,0.5023390449533852,307.12040056657406,152.84183186026013,5291,36.814013413371896,-47.15816813973987,13.74503375
0.001,0.5,0.03,17088.87743438266,0.5592417061611374,844,472,372,0.22211652999882164,17288.87743438266,17288.87743438266,1278,545.4007434364814,17088.87743438266,13.069375084
0.001,0.5,0.05,25835.7965661766,0.5484913793103449,928,509,419,0.24954641904090127,26035.7965661766,26035.7965661766,1263,881.9355851743575,25835.7965661766,13.808619875
0.001,0.5,0.075,27361.458894783842,0.5482123510292525,923,506,417,0.27399460323327535,27561.458894783842,27561.458894783842,1262,942.7173472100721,27361.458894783842,11.697994792
0.001,0.5,0.1,26168.28114833672,0.5616113744075829,844,474,370,0.32889632620448916,26368.28114833672,26368.28114833672,1276,886.4997298350211,26168.28114833672,13.585894958
0.001,0.5,0.125,26086.322052892327,0.5587188612099644,843,471,372,0.3492256298779679,26286.322052892327,26286.322052892327,1276,884.3468220730072,26086.322052892327,11.759374084
0.001,0.55,0.03,53282.118487148946,0.674364896073903,866,584,282,0.25820266361575367,53482.118487148946,53482.118487148946,2101,1600.3374978819147,53282.118487148946,13.631538459
0.001,0.55,0.05,61870.012653207246,0.6548004314994607,927,607,320,0.45352444673723014,62070.012653207246,62070.012653207246,2089,1878.944445693104,61870.012653207246,13.972974541
0.001,0.55,0.075,-8.736384165742436,0.46638655462184875,238,111,127,0.5054850607510817,386.7701471764504,191.26361583425756,2103,28.512951512065975,-8.736384165742436,11.367737167
0.001,0.55,0.1,-5.055190360295171,0.47107438016528924,242,114,128,0.5040818256465086,393.09874031909914,194.94480963970483,2106,32.583488095155744,-5.055190360295171,14.211901916
0.001,0.55,0.125,-7.55340723458832,0.48484848484848486,231,112,119,0.5083997322476881,391.4696662906906,192.44659276541168,2101,31.901488130813455,-7.55340723458832,14.206559416
0.001,0.6,0.03,47214.14483554881,0.675,880,594,286,0.26727294967145293,47414.14483554881,47414.14483554881,2545,1571.6103107553567,47214.14483554881,14.675209
0.001,0.6,0.05,71040.64213057894,0.6100779844031193,1667,1017,650,0.403623502116142,71240.64213057894,71240.64213057894,2486,2490.389070874748,71040.64213057894,14.590267666
0.001,0.6,0.075,74413.97727453893,0.6632653061224489,1078,715,363,0.4150120223516152,74613.97727453893,74613.97727453893,2545,2468.761155527152,74413.97727453893,12.048421583
0.001,0.6,0.1,-70.01481195689303,0.4845360824742268,194,94,100,0.5121867805705441,266.4650789807153,129.98518804310697,2578,23.33783885751842,-70.01481195689303,12.9600825
0.001,0.6,0.125,94.27607580586556,0.5084745762711864,531,270,261,0.5059382242110232,595.6260739579183,294.27607580586556,2553,90.98788240309031,94.27607580586556,13.625884125
0.001,0.65,0.03,55085.914995180385,0.6216367713004485,1784,1109,675,0.3629223139398205,55285.914995180385,55285.914995180385,2875,2136.490612768257,55085.914995180385,15.027649917
0.001,0.65,0.05,55920.4802251143,0.644343891402715,1105,712,393,0.4281684785434171,56120.4802251143,56120.4802251143,2963,2052.136201678596,55920.4802251143,13.562014958
0.001,0.65,0.075,68536.63738533283,0.6366197183098592,1420,904,516,0.47681282027082456,68736.63738533283,68736.63738533283,2918,2590.1036546286655,68536.63738533283,13.528244291
0.001,0.65,0.1,-104.08949797909523,0.45544554455445546,101,46,55,0.5204474898954762,200,95.91050202090477,3028,9.832088526358952,-104.08949797909523,14.115269208
0.001,0.65,0.125,-100.61277947543479,0.39622641509433965,53,21,32,0.5030638973771739,200,99.38722052456521,3031,5.914879475434749,-100.61277947543479,13.752106458
0.001,0.7,0.03,56720.78661525253,0.6450827653359299,2054,1325,729,0.29165698447219823,57001.8173551173,56920.78661525253,3354,2564.0889063994555,56720.78661525253,14.937275042
0.001,0.7,0.05,52540.096360233794,0.6581415174765558,1173,772,401,0.40130692693202064,52821.127100098565,52740.096360233794,3421,2130.216065908847,52540.096360233794,13.184621792
0.001,0.7,0.075,55403.89687118067,0.6752049180327869,976,659,317,0.49713799308871637,55684.92761104544,55603.89687118067,3457,2245.7047288193357,55403.89687118067,13.234244083
