SPREAD_CAPTURE_THRESHOLD,SPREAD_CAPTURE_MAX_QUOTE_CHURN_PER_S,SPREAD_CAPTURE_MAX_POSITION_FRACTION,pnl,win_rate,trades,wins,losses,max_dd,hwm,final_balance,signals,fill_rate,partial_fill_rate,no_fill_count,spread_legging_count,residual_position_count,avg_fill_latency_ms,avg_slippage,raw_event_batches,legacy_snapshot_batches,total_fees,gross_pnl,pnl_net,elapsed_s
0.97,8,0.05,32067.423049421217,0.7767857142857143,448,348,100,0.19070199112559796,32450.095095815854,32267.423049421217,1051,0.6850152905198776,0.3549107142857143,206,8,8,1000.1138392857143,0.012655018441060152,0,3002577,844.1814505788,32911.604500000016,32067.423049421217,12.97967725
0.97,8,0.1,31403.025441771613,0.7767857142857143,448,348,100,0.2016582157399774,31785.69748816625,31603.025441771613,1051,0.6850152905198776,0.35044642857142855,206,8,8,1000.1272321428571,0.012542999834593794,0,3002577,832.6330582284002,32235.658500000012,31403.025441771613,12.894894834
0.97,8,0.125,31168.928039075457,0.7767857142857143,448,348,100,0.2370095390173909,31551.600085470094,31368.928039075457,1051,0.6850152905198776,0.3482142857142857,206,8,8,1000.1272321428571,0.012503093231667314,0,3002577,828.84466092456,31997.772700000016,31168.928039075457,12.876252209
0.97,8,0.15,30807.446159359773,0.7767857142857143,448,348,100,0.2725160194526625,31190.11820575441,31007.446159359773,1051,0.6850152905198776,0.3482142857142857,206,8,8,1000.1272321428571,0.01244450035517448,0,3002577,820.9771406402402,31628.423300000013,30807.446159359773,13.000438792
0.97,50,0.05,32067.423049421217,0.7767857142857143,448,348,100,0.19070199112559796,32450.095095815854,32267.423049421217,1051,0.6850152905198776,0.3549107142857143,206,8,8,1000.1138392857143,0.012655018441060152,0,3002577,844.1814505788,32911.604500000016,32067.423049421217,12.940776167
0.97,50,0.1,31403.025441771613,0.7767857142857143,448,348,100,0.2016582157399774,31785.69748816625,31603.025441771613,1051,0.6850152905198776,0.35044642857142855,206,8,8,1000.1272321428571,0.012542999834593794,0,3002577,832.6330582284002,32235.658500000012,31403.025441771613,12.992300125
0.97,50,0.125,31168.928039075457,0.7767857142857143,448,348,100,0.2370095390173909,31551.600085470094,31368.928039075457,1051,0.6850152905198776,0.3482142857142857,206,8,8,1000.1272321428571,0.012503093231667314,0,3002577,828.84466092456,31997.772700000016,31168.928039075457,12.995369625
0.97,50,0.15,30807.446159359773,0.7767857142857143,448,348,100,0.2725160194526625,31190.11820575441,31007.446159359773,1051,0.6850152905198776,0.3482142857142857,206,8,8,1000.1272321428571,0.01244450035517448,0,3002577,820.9771406402402,31628.423300000013,30807.446159359773,5.983442
1,8,0.05,31786.503715021216,0.7750556792873051,449,348,101,0.19070199112559796,32436.32111108697,31986.503715021216,1055,0.682370820668693,0.35634743875278396,209,9,9,1000.1135857461024,0.012606495637079908,0,3002577,847.3807849788,32633.884500000015,31786.503715021216,12.969588125
1,8,0.1,31122.106107371612,0.7750556792873051,449,348,101,0.2016582157399774,31771.923503437367,31322.106107371612,1055,0.682370820668693,0.3518930957683742,209,9,9,1000.1269487750557,0.012494301345075107,0,3002577,835.8323926284002,31957.93850000001,31122.106107371612,12.925618374999999
1,8,0.125,30888.008704675456,0.7750556792873051,449,348,101,0.2370095390173909,31537.82610074121,31088.008704675456,1055,0.682370820668693,0.34966592427616927,209,9,9,1000.1269487750557,0.012454333808081457,0,3002577,832.04399532456,31720.052700000015,30888.008704675456,12.914901292
1,8,0.15,30526.526824959772,0.7750556792873051,449,348,101,0.2725160194526625,31176.344221025527,30726.526824959772,1055,0.682370820668693,0.34966592427616927,209,9,9,1000.1269487750557,0.012395511376190353,0,3002577,824.1764750402402,31350.703300000012,30526.526824959772,12.974525167
1,50,0.05,31786.503715021216,0.7750556792873051,449,348,101,0.19070199112559796,32436.32111108697,31986.503715021216,1055,0.682370820668693,0.35634743875278396,209,9,9,1000.1135857461024,0.012606495637079908,0,3002577,847.3807849788,32633.884500000015,31786.503715021216,12.939306709
1,50,0.1,31122.106107371612,0.7750556792873051,449,348,101,0.2016582157399774,31771.923503437367,31322.106107371612,1055,0.682370820668693,0.3518930957683742,209,9,9,1000.1269487750557,0.012494301345075107,0,3002577,835.8323926284002,31957.93850000001,31122.106107371612,12.953604916
1,50,0.125,30888.008704675456,0.7750556792873051,449,348,101,0.2370095390173909,31537.82610074121,31088.008704675456,1055,0.682370820668693,0.34966592427616927,209,9,9,1000.1269487750557,0.012454333808081457,0,3002577,832.04399532456,31720.052700000015,30888.008704675456,12.976249625
1,50,0.15,30526.526824959772,0.7750556792873051,449,348,101,0.2725160194526625,31176.344221025527,30726.526824959772,1055,0.682370820668693,0.34966592427616927,209,9,9,1000.1269487750557,0.012395511376190353,0,3002577,824.1764750402402,31350.703300000012,30526.526824959772,5.963829958
