procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1 523580  79172  18176 1268532    4    6  9390  1750 1408    7  2  2 85 10  0  0
 0  1 523580  74808  18176 1281128    0    0 21092     4  745  611  6  1 48 46  0  0
 0  1 523580  70228  18176 1293856    0    0 21348     0  657  488  4  1 47 46  2  0
 1  0 523580  66504  18176 1294116    0    0 20984     0  544  345  5  1 46 48  0  0
 0  1 523580  67472  18176 1296000    0    0 13568  8192  554  501  2  1 24 73  0  0
 2  1 523580  79576  18176 1281248    0    0 20900     0 1006 1018  6  2 49 44  0  0
 0  2 523580  80388  18176 1271236    0    0 10252 11516 1961 4053  6  5 23 66  0  0
 0  2 523580  74068  18176 1279620    0    0  7044 13804  486  397  2  1  1 97  0  0
 0  1 523580  69920  18176 1290576    0    0 21428     0  858  718  5  2 49 45  0  0
 0  1 523580  71924  18176 1288128    0    0 20808     0  638  452  5  1 49 45  0  0
